24,1
15,4
9,7
1,10
12,12
10,15
6,16
4,18
5,18
23,1
22,23
2,10
14,15
11,15
34,26
31,28
29,29
32,29
30,4
44,4
18,33
17,6
16,6
25,35
26,35
20,40
19,29
27,42
28,27
21,45
7,46
3,25
8,7
13,15
24,2
15,5
9,8
1,4
12,13
6,17
4,19
5,19
23,4
22,6
2,25
34,27
31,27
29,4
32,4
30,32
44,32
18,6
17,24
16,24
25,36
26,38
20,41
19,41
27,32
28,44
21,6
7,47
3,4
8,8
24,3
15,6
9,9
1,11
12,14
6,18
4,20
5,21
23,22
22,24
2,4
34,2
31,2
29,30
32,31
30,30
44,31
18,34
17,34
16,34
25,37
26,39
20,32
19,32
27,43
28,43
21,24
7,48
3,49
8,47
